Flora	Mac	Time	Name	Temp	moisture	light	conductivity	battery
Flora2	C4:7C:8D:64:5D:17	2019-10-29 22:50:02	Flower care	19.4	40	56	1083	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 23:00:01	Flower care	19.8	42	13	364	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 23:00:01	Flower care	20.0	41	22	1073	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 23:10:02	Flower care	20.3	42	52	360	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 23:10:02	Flower care	20.3	41	56	1063	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 23:20:01	Flower care	18.9	42	74	370	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 23:20:01	Flower care	19.0	40	56	1091	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 23:30:02	Flower care	19.5	42	30	366	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 23:30:02	Flower care	19.6	41	94	1075	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 23:40:01	Flower care	20.0	42	52	363	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 23:40:01	Flower care	20.0	41	39	1068	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 23:50:01	Flower care	20.3	42	94	362	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 23:50:01	Flower care	20.3	41	58	1058	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 00:00:01	Flower care	19.1	42	16	372	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 00:00:01	Flower care	19.1	40	97	1084	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 00:10:01	Flower care	19.6	42	35	366	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 00:10:01	Flower care	19.8	41	56	1062	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 00:20:02	Flower care	20.0	42	94	364	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 00:20:02	Flower care	20.1	41	58	1066	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 00:30:01	Flower care	19.6	42	0	369	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 00:30:01	Flower care	19.7	41	94	1068	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 00:40:01	Flower care	19.9	42	50	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 00:40:01	Flower care	20.1	41	19	1053	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 00:50:01	Flower care	20.3	42	94	364	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 00:50:01	Flower care	20.5	41	74	1050	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 01:00:02	Flower care	20.7	42	1358	364	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 01:00:02	Flower care	20.9	41	1404	1043	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 01:10:01	Flower care	22.6	43	1430	351	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 01:10:01	Flower care	22.8	41	1037	1005	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 01:20:02	Flower care	21.4	43	1185	360	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 01:20:02	Flower care	22.1	41	1224	1025	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 01:30:01	Flower care	22.3	43	1382	355	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 01:30:01	Flower care	22.8	41	1234	1013	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 01:40:02	Flower care	22.1	43	1591	358	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 01:40:02	Flower care	22.5	41	1190	1014	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 01:50:01	Flower care	21.5	43	1680	362	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 01:50:01	Flower care	22.0	41	1437	1023	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 02:00:02	Flower care	21.7	43	1654	363	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 02:00:02	Flower care	22.2	41	1558	1029	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 02:10:01	Flower care	22.6	43	1645	357	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 02:10:01	Flower care	22.8	41	902	1013	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 02:20:01	Flower care	22.0	43	1155	362	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 02:20:01	Flower care	22.5	41	1254	1018	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 02:30:01	Flower care	21.5	43	1543	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 02:30:01	Flower care	22.1	41	1034	1025	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 02:40:01	Flower care	21.6	43	1677	368	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 02:40:01	Flower care	22.1	41	1479	1025	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 02:50:01	Flower care	22.6	43	1569	360	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 02:50:01	Flower care	23.0	41	948	1014	100
