Position	MacAddress	Time	Name	Temperature	Moisture	Light	Conductivity	Battery
Out	C4:7C:8D:64:5D:17	2019-07-07 13:00:04	Flower care	24.1	33	5857	267	83
In	C4:7C:8D:64:76:67	2019-07-07 13:20:02	Flower care	26.7	47	74	460	99
Out	C4:7C:8D:64:5D:17	2019-07-07 13:20:04	Flower care	27.0	33	6723	251	85
In	C4:7C:8D:64:76:67	2019-07-07 13:40:02	Flower care	26.6	47	55	461	99
Out	C4:7C:8D:64:5D:17	2019-07-07 13:40:06	Flower care	25.8	33	5544	253	83
In	C4:7C:8D:64:76:67	2019-07-07 14:00:02	Flower care	26.6	47	73	461	99
Out	C4:7C:8D:64:5D:17	2019-07-07 14:00:05	Flower care	25.9	33	7860	248	83
In	C4:7C:8D:64:76:67	2019-07-07 14:20:02	Flower care	26.2	47	35	464	99
Out	C4:7C:8D:64:5D:17	2019-07-07 14:20:04	Flower care	24.6	33	3866	251	79
In	C4:7C:8D:64:76:67	2019-07-07 14:40:02	Flower care	26.6	47	17	461	99
Out	C4:7C:8D:64:5D:17	2019-07-07 14:40:04	Flower care	25.1	33	2992	246	81
In	C4:7C:8D:64:76:67	2019-07-07 15:00:02	Flower care	27.0	47	35	453	99
Out	C4:7C:8D:64:5D:17	2019-07-07 15:00:04	Flower care	25.2	33	3004	242	80
In	C4:7C:8D:64:76:67	2019-07-07 15:20:02	Flower care	27.0	47	17	455	99
Out	C4:7C:8D:64:5D:17	2019-07-07 15:20:05	Flower care	25.4	33	3780	241	83
In	C4:7C:8D:64:76:67	2019-07-07 15:40:02	Flower care	27.1	47	35	455	99
Out	C4:7C:8D:64:5D:17	2019-07-07 15:40:07	Flower care	26.2	32	3978	239	84
In	C4:7C:8D:64:76:67	2019-07-07 16:00:01	Flower care	27.0	47	14	457	99
Out	C4:7C:8D:64:5D:17	2019-07-07 16:00:04	Flower care	26.4	32	5149	238	84
In	C4:7C:8D:64:76:67	2019-07-07 16:20:02	Flower care	27.2	47	17	456	99
Out	C4:7C:8D:64:5D:17	2019-07-07 16:20:04	Flower care	26.7	32	3628	236	85
In	C4:7C:8D:64:76:67	2019-07-07 16:40:02	Flower care	27.4	47	55	454	99
Out	C4:7C:8D:64:5D:17	2019-07-07 16:40:04	Flower care	26.8	33	3044	236	83
In	C4:7C:8D:64:76:67	2019-07-07 17:00:01	Flower care	27.3	47	0	458	99
Out	C4:7C:8D:64:5D:17	2019-07-07 17:00:03	Flower care	27.4	33	4295	233	86
In	C4:7C:8D:64:76:67	2019-07-07 17:20:02	Flower care	27.4	47	17	457	99
Out	C4:7C:8D:64:5D:17	2019-07-07 17:20:04	Flower care	27.6	33	3539	235	87
In	C4:7C:8D:64:76:67	2019-07-07 17:40:02	Flower care	27.4	47	74	457	99
Out	C4:7C:8D:64:5D:17	2019-07-07 17:40:06	Flower care	27.1	33	2923	235	86
